block	trialType	trial	signal	response	ssd	rt
0 practiceGoTrials 0 0 1 NaN 0.7932844169990858
0 practiceGoTrials 1 0 1 NaN 0.8294401250022929
0 practiceGoTrials 2 0 1 NaN 0.769816832998913
0 practiceGoTrials 3 0 1 NaN 0.7951703750004526
0 practiceGoTrials 4 0 1 NaN 0.8499922910013993
0 practiceGoTrials 5 0 1 NaN 0.8484726670030796
0 practiceGoTrials 6 0 1 NaN 0.7942295419998118
0 practiceGoTrials 7 0 1 NaN 0.8032881250001083
0 practiceGoTrials 8 0 1 NaN 0.8145528329987428
0 practiceGoTrials 9 0 1 NaN 0.7366493329973309
0 testGoBlocks 0 0 1 NaN 0.7919071249998524
0 testGoBlocks 1 0 1 NaN 0.7617402920004679
0 testGoBlocks 2 0 1 NaN 0.8609541670011822
0 testGoBlocks 3 0 1 NaN 0.7355590000006487
0 testGoBlocks 4 0 1 NaN 0.8054659580011503
0 testGoBlocks 5 0 1 NaN 0.781731208000565
0 testGoBlocks 6 0 1 NaN 0.8179895000030228
0 testGoBlocks 7 0 1 NaN 0.782387541999924
0 testGoBlocks 8 0 1 NaN 0.8161991669985582
0 testGoBlocks 9 0 1 NaN 0.8728117919999931
0 testGoBlocks 10 0 1 NaN 0.7597510420018807
0 testGoBlocks 11 0 1 NaN 0.8058060410003236
0 testGoBlocks 12 0 1 NaN 0.8268955840030685
0 testGoBlocks 13 0 1 NaN 0.826332624998031
0 testGoBlocks 14 0 1 NaN 0.8617099580005743
0 testGoBlocks 15 0 1 NaN 0.7706859579993761
0 testGoBlocks 16 0 1 NaN 0.7596301249977842
0 testGoBlocks 17 0 1 NaN 0.7939240410014463
0 testGoBlocks 18 0 1 NaN 0.7719588750005641
0 testGoBlocks 19 0 1 NaN 0.7840129169999273
0 testGoBlocks 20 0 1 NaN 0.8259622080004192
0 testGoBlocks 21 0 1 NaN 0.8387159170015366
0 testGoBlocks 22 0 1 NaN 0.8157047080021584
0 testGoBlocks 23 0 1 NaN 0.8618070420016011
0 testGoBlocks 24 0 1 NaN 0.8363449999997101
0 testGoBlocks 25 0 1 NaN 0.7714061660008156
0 testGoBlocks 26 0 1 NaN 0.8157646660001774
0 testGoBlocks 27 0 1 NaN 0.8853217079995375
0 testGoBlocks 28 0 1 NaN 0.8056960829999298
0 testGoBlocks 29 0 1 NaN 0.8132747080016998
