block	trialType	trial	signal	response	ssd	rt
1	practiceGoTrials	1	0	1	NaN	0.8018118279869668
1	practiceGoTrials	2	0	1	NaN	0.8310553159972187
1	practiceGoTrials	3	0	1	NaN	0.7929207490233239
1	practiceGoTrials	4	0	1	NaN	0.7831007420027163
1	practiceGoTrials	5	0	1	NaN	0.7938737560180016
2	practiceMixedTrials	1	1	1	0.5	0.07827382200048305
2	practiceMixedTrials	2	0	1	NaN	0.7921703030006029
2	practiceMixedTrials	3	0	1	NaN	0.8034274709934834
2	practiceMixedTrials	4	1	0	0.475	NaN
2	practiceMixedTrials	5	1	0	0.5	NaN
2	practiceMixedTrials	6	0	1	NaN	0.7903389779967256
2	practiceMixedTrials	7	0	1	NaN	0.7822719620016869
2	practiceMixedTrials	8	0	1	NaN	0.7955714300042018
2	practiceMixedTrials	9	1	0	0.525	NaN
2	practiceMixedTrials	10	1	0	0.55	NaN
3	testBlocks	1	0	1	NaN	0.8629897290084045
3	testBlocks	2	0	1	NaN	0.7581070180167444
3	testBlocks	3	0	1	NaN	0.768003058998147
3	testBlocks	4	1	0	0.5	NaN
3	testBlocks	5	0	1	NaN	0.791734496015124
3	testBlocks	6	1	0	0.525	NaN
3	testBlocks	7	1	0	0.55	NaN
3	testBlocks	8	0	1	NaN	0.8069751159928273
3	testBlocks	9	0	1	NaN	0.8094871230132412
3	testBlocks	10	1	1	0.5750000000000001	0.797890023997752
3	testBlocks	11	1	1	0.55	0.7646879199892282
3	testBlocks	12	0	1	NaN	0.8423391669930425
3	testBlocks	13	0	1	NaN	0.8237802179937717
3	testBlocks	14	0	1	NaN	0.8071521060192026
3	testBlocks	15	1	0	0.525	NaN
3	testBlocks	16	1	0	0.55	NaN
3	testBlocks	17	0	1	NaN	0.7780555459903553
3	testBlocks	18	0	1	NaN	0.8055135270114988
3	testBlocks	19	1	1	0.5750000000000001	0.7785077570006251
3	testBlocks	20	0	1	NaN	0.7934196529968176
3	testBlocks	21	0	1	NaN	0.8258568749879487
3	testBlocks	22	0	1	NaN	0.7565723290026654
3	testBlocks	23	0	1	NaN	0.7929332589847036
3	testBlocks	24	0	1	NaN	0.8236224099819083
3	testBlocks	25	0	1	NaN	0.7880583889782429
