"","block","trialType","trial","signal","response","ssd","rt"
"1",1,"practiceGoTrials",1,0,1,NA,0.801811827986967
"2",1,"practiceGoTrials",2,0,1,NA,0.831055315997219
"3",1,"practiceGoTrials",3,0,1,NA,0.792920749023324
"4",1,"practiceGoTrials",4,0,1,NA,0.783100742002716
"5",1,"practiceGoTrials",5,0,1,NA,0.793873756018002
"6",2,"practiceMixedTrials",1,1,1,0.5,0.0782738220004831
"7",2,"practiceMixedTrials",2,0,1,NA,0.792170303000603
"8",2,"practiceMixedTrials",3,0,1,NA,0.803427470993483
"9",2,"practiceMixedTrials",4,1,0,0.475,NA
"10",2,"practiceMixedTrials",5,1,0,0.5,NA
"11",2,"practiceMixedTrials",6,0,1,NA,0.790338977996726
"12",2,"practiceMixedTrials",7,0,1,NA,0.782271962001687
"13",2,"practiceMixedTrials",8,0,1,NA,0.795571430004202
"14",2,"practiceMixedTrials",9,1,0,0.525,NA
"15",2,"practiceMixedTrials",10,1,0,0.55,NA
"16",3,"testBlocks",1,0,1,NA,0.862989729008405
"17",3,"testBlocks",2,0,1,NA,0.758107018016744
"18",3,"testBlocks",3,0,1,NA,0.768003058998147
"19",3,"testBlocks",4,1,0,0.5,NA
"20",3,"testBlocks",5,0,1,NA,0.791734496015124
"21",3,"testBlocks",6,1,0,0.525,NA
"22",3,"testBlocks",7,1,0,0.55,NA
"23",3,"testBlocks",8,0,1,NA,0.806975115992827
"24",3,"testBlocks",9,0,1,NA,0.809487123013241
"25",3,"testBlocks",10,1,1,0.575,0.797890023997752
"26",3,"testBlocks",11,1,1,0.55,0.764687919989228
"27",3,"testBlocks",12,0,1,NA,0.842339166993042
"28",3,"testBlocks",13,0,1,NA,0.823780217993772
"29",3,"testBlocks",14,0,1,NA,0.807152106019203
"30",3,"testBlocks",15,1,0,0.525,NA
"31",3,"testBlocks",16,1,0,0.55,NA
"32",3,"testBlocks",17,0,1,NA,0.778055545990355
"33",3,"testBlocks",18,0,1,NA,0.805513527011499
"34",3,"testBlocks",19,1,1,0.575,0.778507757000625
"35",3,"testBlocks",20,0,1,NA,0.793419652996818
"36",3,"testBlocks",21,0,1,NA,0.825856874987949
"37",3,"testBlocks",22,0,1,NA,0.756572329002665
"38",3,"testBlocks",23,0,1,NA,0.792933258984704
"39",3,"testBlocks",24,0,1,NA,0.823622409981908
"40",3,"testBlocks",25,0,1,NA,0.788058388978243
"41",3,"testBlocks",26,0,1,NA,0.837093134992756
"42",3,"testBlocks",27,0,1,NA,0.770180010993499
"43",3,"testBlocks",28,1,0,0.55,NA
"44",3,"testBlocks",29,0,1,NA,0.841366983979242
"45",3,"testBlocks",30,0,1,NA,0.789657334011281
"46",3,"testBlocks",31,0,1,NA,0.780292719020508
"47",3,"testBlocks",32,0,1,NA,0.761916866991669
"48",3,"testBlocks",33,0,1,NA,0.790192540007411
"49",3,"testBlocks",34,0,1,NA,0.822861022985307
"50",3,"testBlocks",35,1,1,0.575,0.766958627995336
"51",3,"testBlocks",36,0,1,NA,0.787183646985795
"52",3,"testBlocks",37,0,1,NA,0.789605987985851
"53",3,"testBlocks",38,0,1,NA,0.780893879011273
"54",3,"testBlocks",39,0,1,NA,0.809422888007248
"55",3,"testBlocks",40,1,0,0.55,NA
"56",3,"testBlocks",41,0,1,NA,0.779440844984492
"57",3,"testBlocks",42,0,1,NA,0.82936265997705
"58",3,"testBlocks",43,0,1,NA,0.799249844014412
"59",3,"testBlocks",44,0,1,NA,0.787498803023482
"60",3,"testBlocks",45,0,1,NA,0.76346299101715
"61",3,"testBlocks",46,0,1,NA,0.818897117016604
"62",3,"testBlocks",47,1,1,0.575,0.783077934989706
"63",3,"testBlocks",48,0,1,NA,0.814228430012008
"64",3,"testBlocks",49,1,0,0.55,NA
"65",3,"testBlocks",50,1,0,0.575,NA
"66",3,"testBlocks",51,0,1,NA,0.801148814993212
"67",3,"testBlocks",52,0,1,NA,0.772628501988947
"68",3,"testBlocks",53,0,1,NA,0.772636435984168
"69",3,"testBlocks",54,0,1,NA,0.777481391007314
"70",3,"testBlocks",55,0,1,NA,0.804820322984597
"71",3,"testBlocks",56,0,1,NA,0.818963253987022
"72",3,"testBlocks",57,0,1,NA,0.831661228992743
"73",3,"testBlocks",58,0,1,NA,0.828410555026494
"74",3,"testBlocks",59,0,1,NA,0.791705054027261
"75",3,"testBlocks",60,0,1,NA,0.783076832012739
"76",3,"testBlocks",61,0,1,NA,0.796475098002702
"77",3,"testBlocks",62,1,1,0.6,0.790524151001591
"78",3,"testBlocks",63,0,1,NA,0.826612951990683
"79",3,"testBlocks",64,1,1,0.575,0.807986667990917
"80",4,"testBlocks",1,0,1,NA,0.835922632977599
"81",4,"testBlocks",2,1,0,0.55,NA
"82",4,"testBlocks",3,0,1,NA,0.816401219984982
"83",4,"testBlocks",4,1,0,0.575,NA
"84",4,"testBlocks",5,1,1,0.6,0.787069983984111
"85",4,"testBlocks",6,0,1,NA,0.860058694990585
"86",4,"testBlocks",7,0,1,NA,0.810059939976782
"87",4,"testBlocks",8,0,1,NA,0.839083103986923
"88",4,"testBlocks",9,0,1,NA,0.781809104024433
"89",4,"testBlocks",10,0,1,NA,0.828487492981367
"90",4,"testBlocks",11,0,1,NA,0.786587207985576
"91",4,"testBlocks",12,1,1,0.575,0.767775506014004
"92",4,"testBlocks",13,0,1,NA,0.822358915000223
"93",4,"testBlocks",14,0,1,NA,0.808797473000595
"94",4,"testBlocks",15,1,0,0.55,NA
"95",4,"testBlocks",16,0,1,NA,0.750762960000429
"96",4,"testBlocks",17,1,0,0.575,NA
"97",4,"testBlocks",18,0,1,NA,0.76542087100097
"98",4,"testBlocks",19,0,1,NA,0.788126333005494
"99",4,"testBlocks",20,0,1,NA,0.780677759001264
"100",4,"testBlocks",21,0,1,NA,0.782474209001521
"101",4,"testBlocks",22,1,0,0.6,NA
"102",4,"testBlocks",23,1,1,0.625,0.777624200010905
"103",4,"testBlocks",24,0,1,NA,0.788615922996541
"104",4,"testBlocks",25,0,1,NA,0.766883166012121
"105",4,"testBlocks",26,1,0,0.6,NA
"106",4,"testBlocks",27,0,1,NA,0.827215159020852
"107",4,"testBlocks",28,0,1,NA,0.814598177006701
"108",4,"testBlocks",29,0,1,NA,0.800867988989921
"109",4,"testBlocks",30,0,1,NA,0.0019585780100897
"110",4,"testBlocks",31,1,1,0.625,0.787195823999355
"111",4,"testBlocks",32,0,1,NA,0.846190754004056
"112",4,"testBlocks",33,0,1,NA,0.798102750995895
"113",4,"testBlocks",34,0,1,NA,0.810285535990261
"114",4,"testBlocks",35,0,1,NA,0.802324304007925
"115",4,"testBlocks",36,0,1,NA,0.788957642012974
"116",4,"testBlocks",37,0,1,NA,0.815442113002064
"117",4,"testBlocks",38,1,0,0.6,NA
"118",4,"testBlocks",39,0,1,NA,0.827253548981389
"119",4,"testBlocks",40,0,1,NA,0.771455962996697
"120",4,"testBlocks",41,0,1,NA,0.800123302004067
"121",4,"testBlocks",42,0,1,NA,0.814609815977747
"122",4,"testBlocks",43,0,1,NA,0.815831216023071
"123",4,"testBlocks",44,0,1,NA,0.82126462899032
"124",4,"testBlocks",45,1,1,0.625,0.802192264003679
"125",4,"testBlocks",46,0,1,NA,0.797653701010859
"126",4,"testBlocks",47,1,1,0.6,0.788165937003214
"127",4,"testBlocks",48,0,1,NA,0.776597057993058
"128",4,"testBlocks",49,0,1,NA,0.779105766996508
"129",4,"testBlocks",50,0,1,NA,0.775908779993188
